City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
189,Libertador General San Martin,AR,2021-05-26 23:08:27,-23.8064,-64.7876,57.97,68,100,3.56
190,Gari,RU,2021-05-26 23:08:28,59.4307,62.3497,40.86,89,89,10.0
191,Margate,GB,2021-05-26 23:08:28,51.3813,1.3862,52.3,80,100,3.0
192,Znamenskoye,RU,2021-05-26 23:08:28,57.1281,73.8282,53.73,68,43,18.23
193,Mount Isa,AU,2021-05-26 23:08:29,-20.7333,139.5,62.37,31,22,12.66
194,Sao Joao Da Barra,BR,2021-05-26 23:08:29,-21.6403,-41.0511,72.16,84,50,9.24
195,Katobu,ID,2021-05-26 23:08:29,-4.9408,122.5276,77.09,89,61,6.49
196,Taksimo,RU,2021-05-26 23:08:30,56.3444,114.8794,50.27,51,88,2.35
197,Vinh,VN,2021-05-26 23:08:30,18.6667,105.6667,78.21,93,66,2.33
198,Mahebourg,MU,2021-05-26 23:08:30,-20.4081,57.7,72.25,87,9,3.78
199,Nadaun,IN,2021-05-26 23:06:14,31.7833,76.35,75.36,24,0,4.74
200,Aitape,PG,2021-05-26 23:08:31,-3.1374,142.3475,80.06,83,98,2.1
201,Agrado,CO,2021-05-26 23:08:31,2.2573,-75.7714,67.62,93,99,5.64
202,Luena,AO,2021-05-26 23:08:31,-11.7833,19.9167,52.41,62,0,3.89
203,Magistralnyy,RU,2021-05-26 23:08:31,56.1725,107.4458,37.35,68,18,5.06
204,Helong,CN,2021-05-26 23:08:32,42.5397,128.9972,49.86,85,100,2.01
205,Padre Paraiso,BR,2021-05-26 23:08:32,-17.0742,-41.4844,64.4,99,12,3.42
206,The Valley,AI,2021-05-26 23:08:32,18.217,-63.0578,81.1,74,75,10.36
207,Mnogovershinnyy,RU,2021-05-26 23:08:33,53.9353,139.9242,45.14,62,80,2.57
208,Lorengau,PG,2021-05-26 23:08:33,-2.0226,147.2712,80.82,85,96,9.93
209,Nemuro,JP,2021-05-26 23:08:33,43.3236,145.575,49.46,73,11,5.88
210,Camacha,PT,2021-05-26 23:08:33,33.0833,-16.3333,62.53,68,75,11.5
211,Merrill,US,2021-05-26 23:03:36,45.1805,-89.6835,64.17,53,1,10.36
212,Kendari,ID,2021-05-26 23:08:34,-3.945,122.4989,76.68,93,81,1.66
213,Bloomfield,US,2021-05-26 23:05:13,40.8068,-74.1854,83.93,67,90,4.0
214,El Cope,PA,2021-05-26 23:08:34,8.6167,-80.6,72.86,93,100,4.76
215,Ewa Beach,US,2021-05-26 23:08:35,21.3156,-158.0072,87.75,52,40,18.41
216,Kerman,IR,2021-05-26 23:08:35,30.2832,57.0788,70.95,20,0,10.4
217,Okhotsk,RU,2021-05-26 23:08:35,59.3833,143.3,40.84,83,98,2.95
218,Kikwit,CD,2021-05-26 23:08:35,-5.041,18.8162,70.2,52,32,2.06
219,Maldonado,UY,2021-05-26 23:08:36,-34.6667,-54.9167,59.23,77,40,16.87
220,Sao Filipe,CV,2021-05-26 23:08:36,14.8961,-24.4956,74.23,75,0,8.93
221,Cabo San Lucas,MX,2021-05-26 23:04:39,22.8909,-109.9124,97.81,19,1,10.36
222,Klaksvik,FO,2021-05-26 23:08:37,62.2266,-6.589,41.92,76,99,16.8
223,San Quintin,MX,2021-05-26 23:08:37,30.4833,-115.95,66.63,68,99,15.14
224,Kerema,PG,2021-05-26 23:08:37,-7.9631,145.7785,78.67,82,98,2.84
225,Sarangani,PH,2021-05-26 23:08:37,5.4033,125.4636,83.59,75,98,10.89
226,Mortka,RU,2021-05-26 23:08:38,59.3322,66.0214,42.6,91,100,12.06
227,Fort Nelson,CA,2021-05-26 22:59:44,58.8053,-122.7002,54.99,54,75,0.0
228,Kurmanayevka,RU,2021-05-26 23:08:38,52.5093,52.0675,54.16,74,58,8.57
229,Quzhou,CN,2021-05-26 23:08:38,28.9594,118.8686,71.64,96,96,5.59
230,Isla Mujeres,MX,2021-05-26 23:08:39,21.2311,-86.731,84.25,74,55,9.82
231,Huejuquilla El Alto,MX,2021-05-26 23:08:39,22.6,-103.8667,91.63,12,29,1.7
232,Ilulissat,GL,2021-05-26 23:08:39,69.2167,-51.1,55.42,38,91,25.32
233,Phek,IN,2021-05-26 23:08:40,25.6667,94.5,60.64,97,99,1.72
234,East London,ZA,2021-05-26 23:08:40,-33.0153,27.9116,63.88,83,95,7.23
235,Saquarema,BR,2021-05-26 23:08:41,-22.92,-42.5103,73.44,84,43,8.14
236,Zhoucheng,CN,2021-05-26 23:05:16,35.9122,116.3117,69.03,46,0,4.59
