City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
272,Texarkana,US,33.4251,-94.0477,74.34,91,90,1.99,mist
273,Sangar,RU,63.9242,127.4739,48.11,78,95,13.35,overcast clouds
274,Usinsk,RU,65.9939,57.5281,55.65,68,100,14.52,overcast clouds
275,Gornopravdinsk,RU,60.05,69.9,62.64,60,63,7.96,broken clouds
276,Cabedelo,BR,-6.9811,-34.8339,84.87,68,16,14.25,few clouds
277,Porto Velho,BR,-8.7619,-63.9039,91.45,49,20,8.05,few clouds
278,Mount Isa,AU,-20.7333,139.5,58.77,47,75,9.22,broken clouds
279,Lamu,KE,-2.2717,40.902,78.49,81,61,14.43,broken clouds
280,Guadalajara,MX,20.6667,-103.3333,77.99,48,40,1.1,scattered clouds
281,Gweta,BW,-20.1833,25.2333,61.84,30,0,13.2,clear sky
282,Wuwei,CN,37.9281,102.6414,73.02,13,80,9.89,broken clouds
283,Arkhangelsk,RU,64.5401,40.5433,73.51,46,0,3.11,clear sky
284,Howard Springs,AU,-12.497,131.047,69.71,54,97,7.52,overcast clouds
285,Vardo,NO,70.3705,31.1107,44.58,70,40,19.57,scattered clouds
286,Tira Sujanpur,IN,31.8333,76.5,78.04,54,100,4.9,overcast clouds
287,Shush,IR,32.1942,48.2436,106.12,8,4,10.56,clear sky
288,Khromtau,KZ,50.2503,58.4347,55.26,42,98,9.64,overcast clouds
289,Yaring,TH,6.8662,101.3689,79.03,86,71,9.73,broken clouds
290,Onega,RU,63.9061,38.1404,66.76,51,70,2.8,broken clouds
291,Ajdabiya,LY,30.7554,20.2263,75.45,51,0,19.55,clear sky
292,Laguna,US,38.421,-121.4238,86.61,52,1,4.0,clear sky
293,Canora,CA,51.6333,-102.4343,79.93,51,100,17.74,overcast clouds
294,Leningradskiy,RU,69.3833,178.4167,33.85,94,100,10.83,overcast clouds
295,Ancud,CL,-41.8697,-73.8203,52.43,70,72,3.22,light rain
296,Yulara,AU,-25.2406,130.9889,44.44,70,0,4.61,clear sky
297,Kruisfontein,ZA,-34.0033,24.7314,56.88,61,0,6.71,clear sky
298,Radhan,PK,27.1833,67.95,98.8,22,5,7.63,clear sky
299,Chibombo,ZM,-14.6569,28.0706,58.77,54,13,6.53,few clouds
300,Naters,CH,46.3254,7.9891,65.34,84,100,4.76,light rain
301,Marquette,US,46.5333,-87.6335,76.44,63,96,6.51,overcast clouds
302,Tirlyanskiy,RU,54.2109,58.5806,47.44,65,2,1.21,clear sky
303,Berlevag,NO,70.8578,29.0864,42.24,75,69,16.89,broken clouds
304,Vyartsilya,RU,62.1764,30.693,67.96,56,100,3.89,overcast clouds
305,Omboue,GA,-1.5746,9.2618,78.6,86,100,7.14,overcast clouds
306,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,89.2,56,30,4.34,scattered clouds
307,Cabo San Lucas,MX,22.8909,-109.9124,98.82,37,1,9.22,clear sky
308,Melenki,RU,55.3343,41.6295,60.39,82,49,7.0,scattered clouds
309,Bonthe,SL,7.5264,-12.505,83.68,72,92,8.48,overcast clouds
310,Sambava,MG,-14.2667,50.1667,74.93,84,92,3.89,overcast clouds
311,Grand Gaube,MU,-20.0064,57.6608,74.37,80,6,3.0,clear sky
312,Santa Isabel,BR,-23.3156,-46.2214,80.65,35,0,5.1,clear sky
313,Ovsyanka,RU,55.9575,92.5519,47.37,83,100,4.74,overcast clouds
